City,Cloudiness,Country,Date,Humidity,Lng,Lat,Max Temp,Wind Speed
Kapaa,75,US,1554264212,64,-159.32,22.08,80.6,14.99
Montepuez,0,MZ,1554264825,95,39.0,-13.13,63.65,7.94
Hasaki,40,JP,1554263678,34,140.83,35.73,55.0,11.41
Tasiilaq,92,GL,1554259800,92,-37.64,65.61,30.2,40.26
Punta Arenas,90,CL,1554264750,87,-70.91,-53.16,42.8,16.11
Kampot,20,KH,1554262200,58,104.18,10.62,89.6,9.17
Rikitea,0,PF,1554264826,100,-134.97,-23.12,75.98,16.67
Namibe,0,AO,1554264622,100,12.15,-15.19,79.22,6.49
Kastoria,76,GR,1554264826,100,21.27,40.52,39.71,3.13
Busselton,0,AU,1554264608,33,115.35,-33.64,78.01,16.89
Tilichiki,64,RU,1554264827,85,166.1,60.47,35.57,14.88
Toktogul,48,KG,1554264626,72,72.95,41.87,39.99,1.68
Kirensk,88,RU,1554264827,75,108.12,57.78,37.28,10.74
Ushuaia,40,AR,1554260400,93,-68.31,-54.81,39.2,11.41
Castro,12,CL,1554260400,93,-73.76,-42.48,44.6,4.7
Port Hardy,90,CA,1554264000,71,-127.42,50.7,50.0,4.7
Saint George,20,GR,1554264205,86,22.34,39.45,51.01,2.68
Albany,90,US,1554264672,33,-73.75,42.65,42.8,5.82
Bulgan,0,MN,1554264828,27,103.53,48.81,57.8,7.61
Arraial do Cabo,8,BR,1554264828,99,-42.02,-22.97,74.9,7.16
Victoria,75,BN,1554262200,74,115.24,5.28,86.0,3.36
Mount Isa,0,AU,1554262200,33,139.49,-20.73,86.0,10.29
Khani,90,GE,1554262200,93,42.96,41.96,44.6,4.7
Dingle,8,PH,1554264830,53,122.67,11.0,86.6,12.97
Puerto Quijarro,36,BO,1554264830,91,-57.72,-19.0,76.7,0.56
Sorochinsk,92,RU,1554264830,94,53.15,52.43,37.28,18.23
Hermanus,12,ZA,1554264075,85,19.24,-34.42,61.0,3.0
Mana,0,RS,1554262200,49,20.24,43.52,48.2,2.24
Cabo San Lucas,5,MX,1554264117,73,-109.91,22.89,69.8,14.99
Mtwara,20,TZ,1554260400,100,40.18,-10.28,75.2,13.87
Norman Wells,40,CA,1554260400,65,-126.83,65.28,8.6,9.17
General Roca,0,AR,1554260400,62,-67.58,-39.03,59.0,2.24
Chapada dos Guimaraes,0,BR,1554260400,74,-55.75,-15.46,86.0,6.93
Jamestown,0,AU,1554264832,47,138.6,-33.21,76.07,1.45
Emmett,90,US,1554264831,100,-116.5,43.87,50.0,2.46
Saldanha,0,PT,1554264557,88,-6.55,41.42,37.19,5.03
Dikson,64,RU,1554264833,100,80.55,73.51,25.22,17.67
Georgetown,20,GY,1554264000,94,-58.16,6.8,73.4,4.7
Hobart,0,AU,1554264079,29,147.33,-42.88,61.0,20.8
Saint-Philippe,1,CA,1554264789,44,-73.48,45.36,41.0,6.93
New Norfolk,0,AU,1554264679,29,147.06,-42.78,62.01,20.8
Hilo,90,US,1554264636,78,-155.08,19.71,75.0,9.17
Copiapo,0,CL,1554260400,82,-70.33,-27.37,60.8,3.36
Lakes Entrance,68,AU,1554264578,48,147.99,-37.88,75.0,5.99
Medicine Hat,1,CA,1554264649,51,-110.68,50.04,37.4,6.93
Chuy,48,UY,1554264835,84,-53.46,-33.69,71.48,7.16
Butaritari,92,KI,1554264835,100,172.79,3.07,76.97,8.84
Mar del Plata,0,AR,1554264836,46,-67.52,-46.43,60.77,18.23
Codrington,92,AU,1554264609,53,153.24,-28.95,77.0,12.75
Prince Rupert,1,CA,1554260400,62,-130.32,54.32,51.8,1.12
Anadyr,20,RU,1554264750,86,177.51,64.73,28.4,4.47
Mataura,0,NZ,1554264008,60,168.86,-46.19,60.01,3.0
Caravelas,0,BR,1554264837,100,-39.27,-17.73,80.84,7.38
Nikolskoye,0,RU,1554264636,68,30.79,59.7,28.99,2.24
Bambous Virieux,75,MU,1554264544,88,57.76,-20.34,81.0,3.36
Isangel,75,VU,1554260400,62,169.27,-19.55,89.6,13.87
Saint-Augustin,75,FR,1554264631,87,-0.61,44.83,46.4,12.75
Opuwo,0,NA,1554264838,87,13.84,-18.06,58.79,2.57
Paamiut,80,GL,1554264726,96,-49.67,61.99,31.34,27.85
Airai,44,TL,1554264553,66,125.41,-8.93,81.56,1.45
Hithadhoo,76,MV,1554264718,100,73.08,-0.6,84.35,9.17
Husavik,80,CA,1554264611,79,-96.99,50.56,25.0,5.99
Thunder Bay,20,CA,1554264825,79,-89.26,48.41,28.4,11.41
San Patricio,92,PY,1554264803,94,-56.83,-26.98,70.85,4.14
Cidreira,0,BR,1554264839,92,-50.22,-30.17,70.4,4.7
Moscow,0,RU,1554264121,85,37.62,55.75,32.0,2.57
Kaitangata,0,NZ,1554264823,60,169.85,-46.28,60.01,8.01
Saskylakh,80,RU,1554264681,99,114.09,71.97,28.37,4.59
Bredasdorp,12,ZA,1554264075,87,20.04,-34.53,61.0,3.36
Pangai,40,TO,1554260400,69,-174.35,-19.8,82.4,12.75
Port Elizabeth,90,US,1554264813,75,-74.98,39.31,44.6,14.99
San Vicente,40,SV,1554264622,78,-88.78,13.64,82.4,2.24
Waddan,0,LY,1554264841,90,16.14,29.16,46.46,2.8
Khatanga,64,RU,1554264559,97,102.47,71.98,18.47,5.93
Itarema,80,BR,1554264841,97,-39.92,-2.92,76.07,3.36
Port Hedland,0,AU,1554262200,63,118.58,-20.31,91.4,6.93
Esperance,40,TT,1554264607,78,-61.45,10.24,77.0,4.14
Tuktoyaktuk,40,CA,1554260400,76,-133.03,69.44,-5.81,9.17
Nsanje,80,MZ,1554264842,94,35.26,-16.92,64.37,2.46
Lavrentiya,0,RU,1554264610,96,-170.99,65.58,29.18,6.38
Semnan,0,IR,1554264843,67,53.39,35.58,41.24,3.91
Wainwright,0,CA,1554264779,61,-110.86,52.84,29.0,4.36
Thompson,75,CA,1554260400,77,-97.86,55.74,6.8,4.7
Pisco,0,PE,1554260400,88,-76.2,-13.71,69.8,12.75
Novyy Buyan,40,RU,1554262200,80,50.04,53.69,35.6,22.37
Carnarvon,24,ZA,1554264844,48,22.13,-30.97,47.99,3.69
Narsaq,80,GL,1554263400,86,-46.05,60.91,30.2,16.11
Manaure,32,CO,1554264844,94,-72.45,11.78,78.77,20.92
Limulunga,0,ZM,1554264845,54,23.15,-15.13,64.82,7.61
Longyearbyen,75,NO,1554259800,78,15.63,78.22,8.6,3.36
Qaanaaq,0,GL,1554264711,67,-69.36,77.48,-10.33,7.61
Mehamn,75,NO,1554261600,86,27.85,71.03,30.2,2.91
Atuona,0,PF,1554264611,100,-139.03,-9.8,81.92,12.19
Sisimiut,76,GL,1554264846,100,-53.67,66.94,21.44,1.9
Brae,92,GB,1554261600,93,-1.35,60.4,41.0,28.86
Camacha,40,PT,1554262200,72,-16.33,33.08,60.8,14.99
Jalu,0,LY,1554264677,54,21.55,29.03,57.8,7.72
Bluff,0,AU,1554264846,45,149.07,-23.58,84.53,12.64
Pasighat,92,IN,1554264847,99,95.33,28.06,56.36,1.9
Balaipungut,88,ID,1554264847,99,101.31,1.11,77.15,3.47
Lalsot,0,IN,1554262200,28,76.33,26.56,84.2,3.36
Ketchikan,1,US,1554260160,50,-131.65,55.34,55.4,8.05
Yellowknife,20,CA,1554264816,65,-114.38,62.45,6.8,8.05
Mul,0,IN,1554264848,54,79.68,20.07,83.63,9.28
Abha,0,SA,1554260400,67,42.5,18.22,59.0,9.17
Cravo Norte,80,CO,1554264848,66,-70.2,6.3,78.86,9.62
Alvorada,0,BR,1554264796,94,-51.08,-30.0,75.2,3.13
Pacific Grove,90,US,1554264825,100,-121.92,36.62,57.99,3.36
Avarua,0,CK,1554262200,74,-159.78,-21.21,80.6,9.17
Cherskiy,12,RU,1554264849,76,161.3,68.75,34.13,5.37
Invermere,80,CA,1554264712,55,-116.03,50.51,36.0,1.01
Sambava,56,MG,1554264850,100,50.17,-14.27,80.75,9.95
Tiarei,75,PF,1554264150,74,-149.33,-17.53,86.0,10.29
Necochea,0,AR,1554264492,54,-58.74,-38.55,53.01,3.0
Bethel,1,US,1554260160,61,-161.76,60.79,46.4,14.99
Manzhouli,0,CN,1554264851,21,117.43,49.6,40.52,9.84
Sovetskiy,0,RU,1554264851,71,48.47,56.76,19.46,8.95
Lebu,75,ET,1554264000,72,38.73,8.96,60.8,6.93
Kayerkan,68,RU,1554264852,87,87.76,69.35,23.87,3.24
Taltal,56,CL,1554264852,95,-70.49,-25.41,54.83,1.68
Vaini,20,IN,1554260400,41,74.49,15.34,78.8,1.68
Yerbogachen,80,RU,1554264852,71,108.01,61.28,30.89,6.49
Kiunga,12,PG,1554264852,70,141.3,-6.12,88.4,2.91
Alofi,75,NU,1554260400,69,-169.92,-19.06,80.6,12.75
Svetlogorsk,90,RU,1554262200,100,59.15,53.14,33.8,22.37
Porto Novo,40,BR,1554260400,100,-45.44,-23.68,66.2,3.36
Tautira,75,PF,1554264746,74,-149.15,-17.73,86.0,10.29
Nenton,8,GT,1554264853,63,-91.75,15.8,58.25,1.57
Kollam,20,IN,1554262200,66,76.6,8.88,89.6,4.7
Basoko,36,CD,1554264854,92,23.61,1.23,74.09,3.36
Luanda,75,AO,1554260400,94,13.24,-8.83,75.2,2.24
Kruisfontein,80,ZA,1554264854,78,24.73,-34.0,61.13,11.74
Umuarama,68,BR,1554264622,79,-53.31,-23.76,69.14,5.37
Provideniya,40,RU,1554262200,74,-173.23,64.42,30.2,17.9
Colares,20,PT,1554264718,81,-9.45,38.8,54.0,4.7
