City,Cloudiness,Country,Date,Humidity,Longitude,Lattitude,Max Temperature,Wind Speed
Ust-Koksa,76,RU,1554317538,79,85.62,50.27,29.55,2.19
Ilulissat,75,GL,1554313800,67,-51.1,69.22,19.4,23.04
Farafangana,0,MG,1554317539,100,47.83,-22.82,76.8,3.65
Blagoyevo,8,RU,1554317539,78,47.92,63.37,33.96,6.67
Clyde River,75,CA,1554314400,61,-68.59,70.47,12.2,8.05
Port Alfred,32,ZA,1554317501,93,26.89,-33.59,64.99,16.4
Atuona,68,PF,1554317507,100,-139.03,-9.8,81.57,15.61
Tuktoyaktuk,75,CA,1554314400,76,-133.03,69.44,-4.01,17.22
Mnogovershinnyy,76,RU,1554317540,89,139.92,53.94,19.92,3.65
Winnemucca,75,US,1554317103,54,-117.74,40.97,53.6,11.41
Kavieng,80,PG,1554317541,100,150.8,-2.57,83.01,7.23
Mildura,92,AU,1554317158,48,142.16,-34.18,64.4,4.7
Butaritari,88,KI,1554317541,100,172.79,3.07,77.7,2.19
Biak,88,ID,1554317541,100,122.88,-0.91,77.52,1.74
Guerrero Negro,0,MX,1554317541,63,-114.04,27.97,66.27,6.89
Colquechaca,92,BO,1554317542,100,-66.0,-18.7,48.54,2.42
Mataura,24,NZ,1554317542,75,168.86,-46.19,46.2,9.46
Zhigansk,88,RU,1554317542,82,123.37,66.77,25.77,6.11
New Norfolk,20,AU,1554317535,75,147.06,-42.78,43.0,10.29
Swift Current,1,CA,1554314400,45,-107.8,50.29,46.4,18.34
Amazar,68,RU,1554317543,55,120.88,53.86,23.07,3.2
Ushuaia,75,AR,1554314520,70,-68.31,-54.81,44.6,27.51
Bluff,0,AU,1554317543,73,149.07,-23.58,68.34,10.58
Nikolskoye,0,RU,1554317436,32,30.79,59.7,43.0,6.71
Nara,0,JP,1554317062,75,135.8,34.68,44.6,3.36
Barrow,0,AR,1554317544,42,-60.23,-38.31,75.0,10.8
Kachiry,100,KZ,1554317544,72,76.1,53.07,47.19,12.71
Khalabat,32,PK,1554317382,55,72.89,34.06,72.0,1.99
Kapaa,40,US,1554317308,64,-159.32,22.08,73.4,10.29
Mount Gambier,90,AU,1554314400,87,140.78,-37.83,53.6,8.05
Burns Lake,48,CA,1554317545,63,-125.76,54.23,42.06,2.75
Oktyabrskiy,0,RU,1554316202,51,37.97,55.61,41.0,4.47
Fare,0,PF,1554317546,98,-151.02,-16.7,84.0,8.01
Inhambane,20,MZ,1554314400,83,35.38,-23.87,75.2,10.47
Saint-Philippe,75,CA,1554317479,65,-73.48,45.36,46.99,12.75
Hilo,1,US,1554317476,78,-155.08,19.71,78.01,5.82
Kamenka,92,RU,1554317547,93,44.05,53.19,32.88,17.07
Rikitea,0,PF,1554317547,100,-134.97,-23.12,74.64,21.43
Kassala,0,SD,1554317548,26,36.38,15.45,73.38,5.44
Kaeo,64,NZ,1554316685,82,173.78,-35.1,63.0,9.57
Pevek,0,RU,1554317548,48,170.27,69.7,9.75,2.42
Nishihara,1,JP,1554317397,59,139.53,35.74,48.0,1.19
Vaini,0,IN,1554317548,85,74.49,15.34,71.49,2.19
Beringovskiy,88,RU,1554317549,92,179.32,63.05,26.58,16.96
Ancud,90,CL,1554314400,100,-73.83,-41.87,50.0,9.17
Hobart,20,AU,1554317535,75,147.33,-42.88,43.0,10.29
Cidreira,32,BR,1554317549,76,-50.22,-30.17,83.82,8.46
Vila Velha,75,BR,1554317290,74,-38.6,-3.71,82.4,9.17
Hasaki,0,JP,1554316775,86,140.83,35.73,32.0,2.24
Busselton,92,AU,1554317163,44,115.35,-33.64,64.99,14.27
Altay,24,CN,1554317550,86,88.13,47.83,29.82,2.08
Saint-Augustin,88,FR,1554317482,70,-0.61,44.83,46.4,5.82
Port Augusta,64,AU,1554317332,68,137.76,-32.49,64.4,5.82
Parana,75,BR,1554314400,79,-72.89,-7.52,87.8,4.7
Ugoofaaru,64,MV,1554317551,100,73.0,5.67,84.63,2.42
Adeje,0,NG,1554317551,68,5.76,5.68,86.52,8.46
Albany,40,US,1554317426,21,-73.75,42.65,62.6,25.28
Okakarara,20,NA,1554317552,66,17.46,-20.59,68.34,4.88
Chokurdakh,0,RU,1554317552,49,147.9,70.62,-2.95,2.98
